id,created_at,countyfips,text
1455484453866909696,"2021-11-02 10:38:30",12033,"@Kwakyekofisamu2 @Cyril__kay @alf_phredo i conf pass you bro ?"
1455485404564451332,"2021-11-02 10:42:16",18129,"the way i forced myself to finish it because i thought that it would get better in the end ??"
1455485434679672836,"2021-11-02 10:42:23",17145,"not a single member of Architects is an architect. https://t.co/m8XLv0Cp9p"
1455485507996114944,"2021-11-02 10:42:41",17145,"@angkotwar bisa a"
1455485938314801152,"2021-11-02 10:44:23",18129,"@PinguuJi Vaise to mai aise hi jalata ,but ab Pakistan ke jeetne par jalaunga ?"
1455485991397912580,"2021-11-02 10:44:36",18129,"haven't started the s2 yet. maybe next time when k*nsey stops being annoying in my head."
1455486011132325893,"2021-11-02 10:44:41",18041,"Daily Morning Prayer (11/2/21) https://t.co/tGF7SgUddJ via @YouTube"
1455486136579547145,"2021-11-02 10:45:11",17017,"sa birthday pa ni mama iuuwi si bau bau ??"
1455486267370655745,"2021-11-02 10:45:42",13293,"@H3CZ @OpTic When is the OpTic Dallas announcement?"
1455486346378817538,"2021-11-02 10:46:01",21157,"@WPSDLocal6 ??????????"
1455486690630389764,"2021-11-02 10:47:23",17017,"@Mariah_luv_ Hi po"
1455486741272424456,"2021-11-02 10:47:35",17017,"@cydennjaile Ayos lang din, happy monthsary sa inyo!!"
1455486753628958721,"2021-11-02 10:47:38",20181,"@aanenmatig https://t.co/ZkVBuUZ2U2"
1455486874693292032,"2021-11-02 10:48:07",24027,"@susan_atkinss Whoop covids ass the first time and I’ll do it again if I got to …… if anything I’m a fucking warrio… https://t.co/AxuAi9P8os"
1455486915881353217,"2021-11-02 10:48:17",21055,"@kjpatton67 @TheGleanerNews Henderson is such a great team. Just shows how dominant those traditional powers over that way can be."
1455487030071279622,"2021-11-02 10:48:44",18049,"@highlyxquinn try cleaning with adhd and being stoned... terrible"
1455487204839542787,"2021-11-02 10:49:25",21027,"@4CaesarLeo That is your opinion of it. Just like the nurse had hers. She lost her job cause of hers."
1455487317171376131,"2021-11-02 10:49:52",18079,"@thouxaned1k dual amps &gt; dual marshals"
1455487345709522948,"2021-11-02 10:49:59",13091,"“ I don did the realest, * just like me migh be extinct”❤️ #Chosen #believeit https://t.co/qzl9IxbaeH"
1455487365011619847,"2021-11-02 10:50:04",13149,"#NewProfilePic https://t.co/1P0x8ro77A"
1455487406141022211,"2021-11-02 10:50:13",01015,"@1984cov I know it takes a lot of energy to swim upward‼️ Keep swimming and keep floating my friend ?  Retreat and… https://t.co/zHTAIEmUcm"
1455487439703875587,"2021-11-02 10:50:21",19059,"Great day for an auction! In MN for the first of @PeoplesCompany’s four sales this week. #LetsGo https://t.co/xmKlIAnvw8"
1455487782714019850,"2021-11-02 10:51:43",18117,"@AholiabBezaleel @johnhawkinsrwn @MythinformedMKE It sounds like something woke white liberals say."
1455487972233695235,"2021-11-02 10:52:28",12017,"@richardmarx That’s fine sir you just stay right there and we’ll all just walk around you, at a safe distance of course."
1455488046535692292,"2021-11-02 10:52:46",22115,"Anyone catch the newest Yogi Bears episode yet? https://t.co/aDDhcFCNGd"
1455488119373979654,"2021-11-02 10:53:03",09007,"Of the women about you
Are . one
And it was going to snow
Walks around the feet
It was snowing
Or the beauty of innuendoes"
1455488121425076225,"2021-11-02 10:53:04",18117,"@MythinformedMKE I swear Everytime Colin scams people with his fake woke talking points, his fro grows out a little more"
1455488198927339521,"2021-11-02 10:53:22",01015,"@1984cov You are first in line to survive and trive, then you have strength to help others ?‼️"
1455488212575608833,"2021-11-02 10:53:26",22009,"اه والله دانا لو فتحت بوقي هدمر عائلات????‍♀️. https://t.co/hxpogtGGOj"
1455488288274399234,"2021-11-02 10:53:44",21155,"- Anthony Epps ?PG

- Stanley “BOOM” Williams ???

- Rhyne Howard ??1️⃣0️⃣

- 96’ &amp; 14’-15’ Mens Team ??

- Blue Je… https://t.co/DMnvUj"
1455488435402285058,"2021-11-02 10:54:19",12119,"@BcBespoke @lostcreatives1 @HbBusinesshelp @UdesignsM @unitedfhome @Oliversbed @WeeksMalawi @dorfman_baruch… https://t.co/v6ZRrLkBRb"
1455488451013398531,"2021-11-02 10:54:23",21155,"&amp; Christmas Coming Up ????? https://t.co/D1kx1huZC3"
