FIPS,lat,long,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,STUSAB,STATE_NAME
31129,40.1763796295,-98.0471849897,31,129,00835886,31129,Nuckolls,Nuckolls County,NE,Nebraska
39003,40.7715207081,-84.1057794323,39,003,01074015,39003,Allen,Allen County,OH,Ohio
39085,41.9103521337,-81.2509392420,39,085,01074055,39085,Lake,Lake County,OH,Ohio
29011,37.5023005833,-94.3471107747,29,011,00758460,29011,Barton,Barton County,MO,Missouri
26089,45.1517708590,-86.0384960523,26,089,01622987,26089,Leelanau,Leelanau County,MI,Michigan
08115,40.8759049641,-102.3517911950,08,115,00198173,08115,Sedgwick,Sedgwick County,CO,Colorado
31089,42.4557108473,-98.7838447084,31,089,00835866,31089,Holt,Holt County,NE,Nebraska
13227,34.4643197803,-84.4656390578,13,227,01673011,13227,Pickens,Pickens County,GA,Georgia
28069,32.7545579307,-88.6411594239,28,069,00695758,28069,Kemper,Kemper County,MS,Mississippi
17083,39.0855054887,-90.3565282985,17,083,00424243,17083,Jersey,Jersey County,IL,Illinois
12095,28.5144162588,-81.3234735281,12,095,00295750,12095,Orange,Orange County,FL,Florida
48181,33.6268085539,-96.6777253881,48,181,01383876,48181,Grayson,Grayson County,TX,Texas
48107,33.6146250309,-101.2999584510,48,107,01383839,48107,Crosby,Crosby County,TX,Texas
72151,18.0559662881,-65.8633023194,72,151,01804556,72151,Yabucoa,Yabucoa Municipio,PR,Puerto Rico
40003,36.7309889110,-98.3239781797,40,003,01101789,40003,Alfalfa,Alfalfa County,OK,Oklahoma
21193,37.2442933233,-83.2214816028,21,193,00516943,21193,Perry,Perry County,KY,Kentucky
19121,41.3307142217,-94.0155619459,19,121,00465249,19121,Madison,Madison County,IA,Iowa
48005,31.2547645833,-94.6118485462,48,005,01383788,48005,Angelina,Angelina County,TX,Texas
17011,41.4041459264,-89.5286557577,17,011,00424207,17011,Bureau,Bureau County,IL,Illinois
18157,40.3886187334,-86.8940974128,18,157,00450393,18157,Tippecanoe,Tippecanoe County,IN,Indiana
26037,42.9436523662,-84.6015165533,26,037,01622961,26037,Clinton,Clinton County,MI,Michigan
72133,17.9530033162,-66.3866938243,72,133,01804547,72133,Santa Isabel,Santa Isabel Municipio,PR,Puerto Rico
37131,36.4177312434,-77.3968212099,37,131,01008575,37131,Northampton,Northampton County,NC,North Carolina
46081,44.3586271805,-103.7922245150,46,081,01266996,46081,Lawrence,Lawrence County,SD,South Dakota
08059,39.5864284092,-105.2504667930,08,059,00198145,08059,Jefferson,Jefferson County,CO,Colorado
20035,37.2377526609,-96.8374891769,20,035,00484987,20035,Cowley,Cowley County,KS,Kansas
51045,37.4817063904,-80.2113954217,51,045,01673664,51045,Craig,Craig County,VA,Virginia
25027,42.3513950817,-71.9077266261,25,027,00606940,25027,Worcester,Worcester County,MA,Massachusetts
06031,36.0753604529,-119.8155027090,06,031,00277280,06031,Kings,Kings County,CA,California
20115,38.3588724365,-97.0968903589,20,115,00485022,20115,Marion,Marion County,KS,Kansas
13291,34.8340257189,-83.9907199550,13,291,00353193,13291,Union,Union County,GA,Georgia
22053,30.2677218795,-92.8141209150,22,053,00558039,22053,Jefferson Davis,Jefferson Davis Parish,LA,Louisiana
08037,39.6278256159,-106.6952992590,08,037,00198134,08037,Eagle,Eagle County,CO,Colorado
29209,36.7470190976,-93.4559809760,29,209,00758557,29209,Stone,Stone County,MO,Missouri
16069,46.3268492280,-116.7502771310,16,069,00399394,16069,Nez Perce,Nez Perce County,ID,Idaho
13113,33.4139430365,-84.4941911259,13,113,01687740,13113,Fayette,Fayette County,GA,Georgia
02275,56.2936264549,-132.1292249400,02,275,02516402,02275,Wrangell,Wrangell City and Borough,AK,Alaska
20001,37.8857349436,-95.3013889295,20,001,00484970,20001,Allen,Allen County,KS,Kansas
19165,41.6850925934,-95.3102113400,19,165,00465271,19165,Shelby,Shelby County,IA,Iowa
34009,39.0850981086,-74.8499770137,34,009,00882274,34009,Cape May,Cape May County,NJ,New Jersey
33005,42.9193314277,-72.2511752725,33,005,00873176,33005,Cheshire,Cheshire County,NH,New Hampshire
24009,38.5347120041,-76.5305644689,24,009,01676636,24009,Calvert,Calvert County,MD,Maryland
35043,35.6886045558,-106.8659509230,35,043,00929113,35043,Sandoval,Sandoval County,NM,New Mexico
40147,36.7152338187,-95.9043661801,40,147,01101861,40147,Washington,Washington County,OK,Oklahoma
48323,28.7425901306,-100.3145141710,48,323,01383944,48323,Maverick,Maverick County,TX,Texas
37163,34.9915361594,-78.3713906105,37,163,01026131,37163,Sampson,Sampson County,NC,North Carolina
47163,36.5129154065,-82.3041428598,47,163,01639793,47163,Sullivan,Sullivan County,TN,Tennessee
56011,44.5886036159,-104.5699294440,56,011,01605071,56011,Crook,Crook County,WY,Wyoming
18139,39.6199484364,-85.4657611777,18,139,00446854,18139,Rush,Rush County,IN,Indiana
29195,39.1368391026,-93.2018512461,29,195,00758550,29195,Saline,Saline County,MO,Missouri
24003,38.9941571642,-76.5675970619,24,003,01710958,24003,Anne Arundel,Anne Arundel County,MD,Maryland
54101,38.4947373058,-80.4218730680,54,101,01550057,54101,Webster,Webster County,WV,West Virginia
17155,41.2044899818,-89.2857803179,17,155,00424279,17155,Putnam,Putnam County,IL,Illinois
05023,35.5381064958,-92.0267180322,05,023,00066983,05023,Cleburne,Cleburne County,AR,Arkansas
27061,47.5095252347,-93.6320085311,27,061,00659476,27061,Itasca,Itasca County,MN,Minnesota
10005,38.6832973547,-75.3395417153,10,005,00217269,10005,Sussex,Sussex County,DE,Delaware
18059,39.8235499831,-85.7732376368,18,059,00450357,18059,Hancock,Hancock County,IN,Indiana
29097,37.2035472717,-94.3406053082,29,097,00758503,29097,Jasper,Jasper County,MO,Missouri
53061,48.0460953466,-121.7223467260,53,061,01529222,53061,Snohomish,Snohomish County,WA,Washington
17125,40.2396222297,-89.9168137955,17,125,00424261,17125,Mason,Mason County,IL,Illinois
53077,46.4570264297,-120.7384904260,53,077,01531929,53077,Yakima,Yakima County,WA,Washington
48213,32.2119000870,-95.8535779226,48,213,01383892,48213,Henderson,Henderson County,TX,Texas
18087,41.6426062358,-85.4264979093,18,087,00450368,18087,LaGrange,LaGrange County,IN,Indiana
13225,32.5687919024,-83.8268633608,13,225,00343153,13225,Peach,Peach County,GA,Georgia
54037,39.3076165956,-77.8627359849,54,037,01550025,54037,Jefferson,Jefferson County,WV,West Virginia
48439,32.7715559666,-97.2912392440,48,439,01384005,48439,Tarrant,Tarrant County,TX,Texas
28123,32.4063798664,-89.5376379602,28,123,00695782,28123,Scott,Scott County,MS,Mississippi
18083,38.6890898846,-87.4180084675,18,083,00450366,18083,Knox,Knox County,IN,Indiana
31047,40.8699361138,-99.8195657092,31,047,00835845,31047,Dawson,Dawson County,NE,Nebraska
30027,47.2635798565,-109.2244851490,30,027,01719614,30027,Fergus,Fergus County,MT,Montana
06069,36.6057058971,-121.0749955290,06,069,00277299,06069,San Benito,San Benito County,CA,California
30039,46.4044620332,-113.4403678460,30,039,01719605,30039,Granite,Granite County,MT,Montana
26165,44.3383668115,-85.5784138137,26,165,01623023,26165,Wexford,Wexford County,MI,Michigan
51173,36.8437403720,-81.5369666383,51,173,01500545,51173,Smyth,Smyth County,VA,Virginia
27059,45.5614793413,-93.2951672181,27,059,00659475,27059,Isanti,Isanti County,MN,Minnesota
48467,32.5637166985,-95.8365161200,48,467,01384019,48467,Van Zandt,Van Zandt County,TX,Texas
34029,39.8659324961,-74.2499159319,34,029,00882279,34029,Ocean,Ocean County,NJ,New Jersey
17141,42.0425663561,-89.3207266558,17,141,01784894,17141,Ogle,Ogle County,IL,Illinois
20027,39.3497164186,-97.1651722307,20,027,00484983,20027,Clay,Clay County,KS,Kansas
29025,39.6557509891,-93.9827993285,29,025,00758467,29025,Caldwell,Caldwell County,MO,Missouri
21013,36.7306482485,-83.6740950601,21,013,00516853,21013,Bell,Bell County,KY,Kentucky
06019,36.7581801263,-119.6493226320,06,019,00277274,06019,Fresno,Fresno County,CA,California
48111,36.2778878907,-102.6021856200,48,111,01383841,48111,Dallam,Dallam County,TX,Texas
48499,32.7864051416,-95.3820619748,48,499,01384035,48499,Wood,Wood County,TX,Texas
55115,44.7891558271,-88.7654354834,55,115,01581117,55115,Shawano,Shawano County,WI,Wisconsin
27079,44.3714339354,-93.7300728963,27,079,00659485,27079,Le Sueur,Le Sueur County,MN,Minnesota
72143,18.4353927796,-66.3355961365,72,143,01804552,72143,Vega Alta,Vega Alta Municipio,PR,Puerto Rico
24025,39.5364361834,-76.2988753861,24,025,01698178,24025,Harford,Harford County,MD,Maryland
55015,44.0816034654,-88.2180579882,55,015,01581067,55015,Calumet,Calumet County,WI,Wisconsin
53049,46.5514253133,-123.7796674460,53,049,01513274,53049,Pacific,Pacific County,WA,Washington
02013,55.2245210175,-161.9472287470,02,013,01419964,02013,Aleutians East,Aleutians East Borough,AK,Alaska
36055,43.3091611082,-77.6801783639,36,055,00974126,36055,Monroe,Monroe County,NY,New York
15007,22.0110798698,-159.7054382000,15,007,00365282,15007,Kauai,Kauai County,HI,Hawaii
28103,33.1101127820,-88.5698161858,28,103,00695774,28103,Noxubee,Noxubee County,MS,Mississippi
41065,45.1600224643,-121.1677751670,41,065,01155136,41065,Wasco,Wasco County,OR,Oregon
47189,36.1548497851,-86.2977463556,47,189,01639802,47189,Wilson,Wilson County,TN,Tennessee
36095,42.5882192933,-74.4421175889,36,095,00974145,36095,Schoharie,Schoharie County,NY,New York
54049,39.5099950740,-80.2433983428,54,049,01718173,54049,Marion,Marion County,WV,West Virginia
55031,46.4641098796,-91.8994024936,55,031,01581075,55031,Douglas,Douglas County,WI,Wisconsin
37065,35.9128806710,-77.5970588882,37,065,01008551,37065,Edgecombe,Edgecombe County,NC,North Carolina
51720,36.9314574330,-82.6262026867,51,720,01498434,51720,Norton,Norton city,VA,Virginia
40087,35.0093341427,-97.4442882363,40,087,01101834,40087,McClain,McClain County,OK,Oklahoma
72149,18.1281740486,-66.4728039205,72,149,01804555,72149,Villalba,Villalba Municipio,PR,Puerto Rico
